00,16744703,16777215
01,65280,16711680
02,128,8421376
03,0,4227327
04,4227327,16777215
05,4227327,65535
06,65535,16776960
07,16744703,0
08,65280,16776960
09,65280,255
10,12632256,255
11,12632256,16711680
12,4227327,8421376
13,65535,4227327
14,16711680,4227327
15,65535,12632256
16,0,12632256
17,65280,0
18,8421376,4227327
19,16776960,65280
21,12632256,4227327
26,12632256,65535
27,0,65280
28,65280,65535
29,65280,16777215
30,0,0
32,8388736,0
33,8388736,16777215
34,0,16777215
35,0,255
36,0,8421376
37,0,65535
38,0,4210816
39,0,16711680
40,16777215,16777215
41,12632256,12632256
43,16777215,0
45,16777215,255
46,16777215,8421376
47,16777215,65535
48,16777215,4210816
49,16777215,16711680
50,255,255
51,4227327,4227327
52,16744703,16744703
53,255,0
54,255,16777215
55,255,65280
56,255,8421376
57,255,65535
58,255,4210816
59,255,16711680
60,8421376,8421376
61,65280,65280
62,4210688,4210688
63,8421376,0
64,8421376,16777215
65,8421376,255
66,8421376,8388736
67,8421376,65535
68,8421376,4210816
69,8421376,16711680
70,65535,65535
71,13948116,13948116
72,128,65535
73,65535,0
74,65535,16777215
75,65535,255
76,65535,8421376
77,4227327,16711680
78,65535,4210816
79,65535,16711680
80,4210816,4210816
81,128,128
82,128,16777215
83,4210816,0
84,4210816,16777215
85,4210816,255
86,4210816,8421376
87,4210816,65535
88,65280,4210816
89,4210816,16711680
90,16711680,16711680
91,16776960,16776960
92,8388736,8388736
93,16711680,0
94,16711680,16777215
95,16711680,255
96,16711680,8421376
97,16711680,65535
98,16711680,4210816
99,16711680,65280
A9,16744576,16744576
AH,16744576,0
AM,16744576,16777215
AQ,16744576,255
AZ,16744576,8421376
BA,16744576,65535
BH,16744576,4210816
BJ,16744576,16711680
BK,16744576,65280
BM,16744576,12632256
BN,16744576,8388736
BP,16744576,16744703
BQ,16744576,16776960
BR,16744576,10809081
A1,8388736,65280
A2,8388736,16711680
A4,65280,4227327
A8,0,16744703
B0,0,10878976
B1,10878976,8421376
B2,8421376,10878976
B5,16711680,8388736
B6,4276545,16776960
B7,4227327,12632256
C0,16776960,4227327
C1,16777215,8388736
C2,12632256,16776960
C4,4227327,16776960
C5,16777215,16744703
C6,4210816,16776960
C7,16776960,255
C8,65280,8388736
C9,8388736,16776960
E0,4210816,16744703
E1,16777215,4227327
E3,8388736,4227327
E4,8421376,16776960
E5,16711680,16744703
E6,4210816,12632256
E7,255,12632256
E9,16744703,16776960
F0,12632256,0
F1,16744703,12632256
F3,65535,16744703
F4,65535,65280
F6,128,128
F7,8388736,65535
F8,0,8388736
F9,16776960,16744703
G0,4276545,4210816
G1,65535,8388736
G2,8421376,65280
G3,16776960,65535
G4,8388736,255
G5,8388736,12632256
G6,16744703,16711680
G7,16744703,65535
G9,8388736,8421376
H0,10809081,10809081
H1,12632256,8421376
H2,16744703,8421376
H4,16744703,255
H5,16744703,4227327
H6,4227327,8388736
H7,12632256,16777215
J0,4210816,8388736
J2,4227327,255
J4,16744703,65280
J5,16776960,0
K0,65280,8421376
K1,8421376,16744703
K2,12632256,8388736
K3,12632256,16744703
K4,12632256,65280
K5,12632256,4210816
K6,10878976,65535
K7,4227327,4210816
K8,10878976,16777215
K9,10878976,10878976
M0,255,16744703
M1,4210816,4227327
M3,4227327,0
M5,16777215,65280
M6,16777215,16776960
M7,255,16776960
M8,16776960,16777215
M2,255,4227327
M9,0,16776960
N0,4227327,10878976
N4,10878976,65280
N5,16777215,10878976
N6,4210688,65535
N7,4227327,65280
R4,10878976,255
R5,10878976,16744703
R7,16744703,10878976
R8,16744703,8388736
R9,255,8388736
S0,0,4276545
S1,4276545,4276545
S4,12632256,10878976
S5,16776960,4210816
S7,65535,10878976
S8,8421376,12632256
S9,8388736,16744703
X1,16777215,12632256
X2,16776960,8421376
X4,65280,10878976
X6,4210816,65280
X7,16711680,12632256
X9,4210816,10878976
